,Country,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Happiness Year,Happiness Index,Happiness Rank
82,Iceland,3.0,0.959,82.6782,19.16305923,13.76716995,55782.04981,2021.0,7.554,4.0
83,Israel,22.0,0.919,82.255,16.05088997,13.3448664,41523.74319,2021.0,7.157,12.0
84,Italy,30.0,0.895,82.8502,16.22678947,10.7401104,42839.51441,2021.0,6.483,28.0
85,Jamaica,110.0,0.709,70.5003,13.40492042,9.154628661,8834.47567,2021.0,6.309,37.0
86,Jordan,102.0,0.72,74.2563,10.64655972,10.44668007,9923.714974,2021.0,4.395,127.0
87,Japan,19.0,0.925,84.7839,15.22162588,13.36610034,42274.29134,2021.0,5.94,56.0
88,Kazakhstan,56.0,0.811,69.3622,15.76500034,12.34756189,23942.81837,2021.0,6.152,45.0
89,Kenya,152.0,0.575,61.427,10.69855835,6.652,4473.570344,2021.0,4.607,121.0
90,Kyrgyzstan,118.0,0.692,69.9774,13.1953001,11.37410556,4566.303831,2021.0,5.744,67.0
91,Cambodia,146.0,0.593,69.5835,11.46772,5.088,4078.697154,2021.0,4.83,114.0
94,South Korea,19.0,0.925,83.6978,16.52173996,12.51293027,44500.93187,2021.0,5.845,62.0
95,Kuwait,50.0,0.831,78.6729,15.32443332,7.328022618,52919.76137,2021.0,6.106,47.0
97,Lebanon,112.0,0.706,75.0472,11.28587,8.718636,9525.831467,2021.0,4.584,123.0
98,Liberia,178.0,0.481,60.7472,10.42078972,5.082,1288.74235,2021.0,4.625,120.0
99,Libya,104.0,0.718,71.9112,12.85428,7.599985,15335.712,2021.0,5.41,80.0
102,Sri Lanka,73.0,0.782,76.3991,14.13990486,10.82730007,12578.22055,2021.0,4.325,129.0
103,Lesotho,168.0,0.514,53.062,12.04087801,6.010184707,2700.435748,2021.0,3.512,145.0
104,Lithuania,35.0,0.875,73.7201,16.28506088,13.49810028,37931.30359,2021.0,6.255,38.0
105,Luxembourg,17.0,0.93,82.6287,14.39813995,13.01519217,84649.47467,2021.0,7.324,8.0
106,Latvia,39.0,0.863,73.5786,16.20252991,13.25271988,32803.23423,2021.0,6.032,51.0
107,Morocco,123.0,0.683,74.0419,14.15190983,5.916,7302.81917,2021.0,4.918,106.0
109,Moldova,80.0,0.767,68.8459,14.43299961,11.82159042,14875.33189,2021.0,5.766,65.0
110,Madagascar,173.0,0.501,64.4853,10.13499142,5.120468534,1483.520983,2021.0,4.208,135.0
111,Maldives,90.0,0.747,79.9182,12.63560963,7.322,15448.12788,2021.0,5.198,89.0
112,Mexico,86.0,0.758,70.2127,14.86443996,9.221050262,17896.29498,2021.0,6.317,36.0
114,North Macedonia,78.0,0.77,73.8415,13.62443234,10.22815037,15917.75283,2021.0,5.101,94.0
115,Mali,186.0,0.428,58.9414,7.423037617,2.31,2132.629443,2021.0,4.723,117.0
116,Malta,23.0,0.918,83.7769,16.83856964,12.21026039,38884.45623,2021.0,6.602,23.0
117,Myanmar,149.0,0.585,65.6716,10.90913752,6.37680006,3850.524234,2021.0,4.426,126.0
118,Montenegro,49.0,0.832,76.3426,15.08160973,12.17648306,20838.80129,2021.0,5.581,72.0
119,Mongolia,96.0,0.739,70.9754,14.98034954,9.423700333,10588.22532,2021.0,5.677,70.0
120,Mozambique,185.0,0.446,59.3247,10.2191516,3.197641838,1198.073924,2021.0,4.794,115.0
121,Mauritania,158.0,0.556,64.3636,9.376159668,4.918804891,5075.305711,2021.0,4.227,134.0
122,Mauritius,63.0,0.802,73.5552,15.17352977,10.42791048,22025.34631,2021.0,6.049,50.0
123,Malawi,169.0,0.512,62.9044,12.67898523,4.489695385,1465.635064,2021.0,3.6,144.0
